Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C13, C14, C19, C27, C28, C31, C34, C36, C38, C49, C73, C81, C84, C88, C9, C94, C96, C98",0603,19,10uF,C96446
"C100, C11, C12, C15, C18, C20, C21, C22, C24, C29, C30, C32, C33, C35, C37, C50, C60, C64, C68, C72, C82, C85, C86, C89, C93, C95, C97, C99",0603,28,100nF,C14663
"C101, C23, C90, C91, C92",0603,5,1uF,C15849
"C16, C17, C83, C87",0805,4,22uF,C45783
"C25, C26",0603,2,18pF,C1647
"C3, C4",1210,2,10uF,
C5,0805,1,100nF 75V,
C6,0603,1,10pF,C1634
C7,0805,1,2.2nF,C28260
"C74, C75, C76, C77",0603,4,33pF,C1663
"D1, D11, D12, D15, D16, D2, D20, D21, D22, D3, D7, D8",D_SMA,12,SS54,C22452
"D5, D6",0603,2,LED,C2286
"R1, R100, R101, R102, R104, R105, R106, R107, R108, R109, R110, R2, R23, R24, R25, R26, R27, R28, R29, R3, R30, R31, R32, R8, R98, R99",0603,26,10k,C25804
"R10, R9",0603,2,47R,C23182
R103,0603,1,56k,C23206
"R12, R82, R84, R86",0603,4,47k,C25819
"R16, R18, R80, R88, R90, R91",0603,6,100k,C25803
"R33, R34, R44, R45, R55, R56",0805,6,33R,C17634
"R35, R36, R46, R47, R57, R58",0805,6,0R,C17477
"R37, R38, R48, R49, R59, R60",0805,6,100k,C149504
"R4, R5, R6, R7",0603,4,5.1k,C23186
"R66, R67, R68, R69, R70, R71, R79, R92, R93, R94",0603,10,0R,C21189
"R83, R85, R87",0603,3,3k,C4211
"R95, R96, R97",0603,3,510k,C23192
"SW1, SW2, SW3",SW_SPST_TL3342,3,SW_Push,C318884
U1,SOT-23-3,1,TS3333ACR,
U4,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
